"Order","Source","Type","Category","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId"
110,"SCI_FI","episode","Stargate SG-98","True",2001,"Stargate SG-1","s05e07","Beast of Burden",,"NULL"
111,"SCI_FI","episode","Stargate SG-99","True",2001,"Stargate SG-1","s05e08","The Tomb",,"NULL"
112,"SCI_FI","episode","Stargate SG-100","True",2001,"Stargate SG-1","s05e09","Between Two Fires",,"NULL"
113,"SCI_FI","episode","Stargate SG-101","True",2001,"Stargate SG-1","s05e10","2001",,"NULL"
114,"SCI_FI","episode","Stargate SG-102","True",2001,"Stargate SG-1","s05e11","Desperate Measures",,"NULL"
115,"SCI_FI","episode","Stargate SG-103","True",2001,"Stargate SG-1","s05e12","Wormhole X-Treme!",,"NULL"
116,"SCI_FI","episode","Stargate SG-104","True",2002,"Stargate SG-1","s05e13","Proving Ground",,"NULL"
117,"SCI_FI","episode","Stargate SG-105","True",2002,"Stargate SG-1","s05e14","48 Hours",,"NULL"
118,"SCI_FI","episode","Stargate SG-106","True",2002,"Stargate SG-1","s05e15","Summit (1)",,"NULL"
119,"SCI_FI","episode","Stargate SG-107","True",2002,"Stargate SG-1","s05e16","Last Stand (2)",,"NULL"
120,"SCI_FI","episode","Stargate SG-108","True",2002,"Stargate SG-1","s05e17","Fail Safe",,"NULL"
121,"SCI_FI","episode","Stargate SG-109","True",2002,"Stargate SG-1","s05e18","The Warrior",,"NULL"
122,"SCI_FI","episode","Stargate SG-110","True",2002,"Stargate SG-1","s05e19","Menace",,"NULL"
123,"SCI_FI","episode","Stargate SG-111","True",2002,"Stargate SG-1","s05e20","The Sentinel",,"NULL"
124,"SCI_FI","episode","Stargate SG-112","True",2002,"Stargate SG-1","s05e21","Meridian",,"NULL"
125,"SCI_FI","episode","Stargate SG-113","True",2002,"Stargate SG-1","s05e22","Revelations",,"NULL"
126,"SCI_FI","episode","Stargate SG-114","True",2002,"Stargate SG-1","s06e01","Redemption (1)",,"NULL"
127,"SCI_FI","episode","Stargate SG-115","True",2002,"Stargate SG-1","s06e02","Redemption (2)",,"NULL"
128,"SCI_FI","episode","Stargate SG-116","True",2002,"Stargate SG-1","s06e03","Descent",,"NULL"
129,"SCI_FI","episode","Stargate SG-117","True",2002,"Stargate SG-1","s06e04","Frozen",,"NULL"
130,"SCI_FI","episode","Stargate SG-118","True",2002,"Stargate SG-1","s06e05","Nightwalkers",,"NULL"
131,"SCI_FI","episode","Stargate SG-119","True",2002,"Stargate SG-1","s06e06","Abyss",,"NULL"
