"Order","Source","Type","Category","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId"
0446,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x16","Birthright, Part 1",,"NULL"
0447,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x17","Birthright, Part 2",,"NULL"
0448,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x10","Move Along Home",,"NULL"
0449,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x11","The Nagus",,"NULL"
0450,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x18","Starship Mine",,"NULL"
0451,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x19","Lessons",,"NULL"
0452,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x12","Vortex",,"NULL"
0453,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x13","Battle Lines",,"NULL"
0454,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x14","The Storyteller",,"NULL"
0455,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x20","The Chase",,"NULL"
0456,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x21","Frame of Mind",,"NULL"
0457,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x22","Suspicions",,"NULL"
0458,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x15","Progress",,"NULL"
0459,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x23","Rightful Heir",,"NULL"
0460,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x16","If Wishes Were Horses",,"NULL"
0461,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x24","Second Chances",,"NULL"
0462,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x18","The Forsaken",,"NULL"
0463,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x17","Dramatis Personae",,"NULL"
0464,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x19","Duet",,"NULL"
0465,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x25","Timescape",,"NULL"
0466,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x20","In the Hands of the Prophets",,"NULL"
